day;temperature_max;temperature_min;humidity;precip_intensity;precip_intensity_max;pressure;visibility;wind_speed
2015-09-04 23:00:00+00:00;16.15;9.04;0.83;0;0;1021.5;6123;2.49
2015-09-06 23:00:00+00:00;20.38;8;0.8;0;0;1030.1;6144;2.35
2015-09-08 23:00:00+00:00;19.94;9.8;0.79;0;0;1021.9;6.21;3.76
2015-09-10 23:00:00+00:00;20.73;10.4;0.76;0;0;1014.4;5453;4.48
2015-09-12 23:00:00+00:00;16.88;9.6;0.84;0;12;1006;6201;3.15
2015-09-14 23:00:00+00:00;17.97;10.76;0.84;0.1499;0.8175;996.7;5917;6.7
2015-09-16 23:00:00+00:00;17.74;9.62;0.84;0.0204;0.1655;999.6;5514;4.28
2015-09-18 23:00:00+00:00;19.56;9.34;0.85;0;0;1024.3;5291;1.63
2015-09-20 23:00:00+00:00;15.19;10.5;0.92;0.1518;1.2761;1013;5211;3.43
2015-09-22 23:00:00+00:00;17.25;7.58;0.83;0;0;1012.3;6216;4.17
2015-09-24 23:00:00+00:00;18.01;7.8;0.78;0;0;1022.8;6216;1.61
2015-09-26 23:00:00+00:00;19.06;7.53;0.79;0;0;1032.6;5851;3.23
2015-09-28 23:00:00+00:00;19.18;8.95;0.76;0;0;1033.8;6149;3.82
2015-09-30 23:00:00+00:00;18.1;8.88;0.78;0;0;1030;5828;3.82
2015-10-02 23:00:00+00:00;16.32;6.36;0.86;0;0;1015.4;2799;1.32
2015-10-04 23:00:00+00:00;16.9;13.82;0.94;0.4331;1.4249;1004.4;3448;5.46
2015-10-06 23:00:00+00:00;14.67;10.7;0.89;0.0028;0.03;1009;5863;4.61
2015-10-08 23:00:00+00:00;16.84;4.07;0.85;0;0;1022.6;5585;0.71
2015-10-10 23:00:00+00:00;16.36;9.11;0.8;0;0;1016.3;4927;2.79
2015-10-12 23:00:00+00:00;13.49;6.52;0.78;0;0;1022.7;6216;3.63
2015-10-14 23:00:00+00:00;12.39;8.16;0.86;0.0024;0.0206;1020.8;6.09;1.93
2015-10-16 23:00:00+00:00;13.01;9.67;0.83;0;0;1019.9;6216;2.57
2015-10-18 23:00:00+00:00;14.67;10.46;0.87;0;0;1024.1;6216;1.74
2015-10-20 23:00:00+00:00;14.29;6.82;0.95;0.2612;1.2204;1019.1;4661;3.07
2015-10-22 23:00:00+00:00;13.87;9.47;0.82;0;0;1021.1;6216;0.87
2015-10-24 23:00:00+00:00;13.13;2.53;0.86;0.0006;0.0132;1024.7;6176;1.01
2015-10-27 00:00:00+00:00;17.41;12.07;0.9;0.0203;0.2253;1008.9;4262;3.27
2015-10-29 00:00:00+00:00;14.59;12.48;0.92;0.0582;0.2504;1012.1;4615;4.81
2015-10-31 00:00:00+00:00;15.44;8.47;0.92;0;0;1022;3595;2.27
2015-11-02 00:00:00+00:00;14.87;8.49;0.95;0;0;1023.6;1.1;1.7
2015-11-04 00:00:00+00:00;14.23;11.11;0.95;0.2115;1.5166;1013.8;4.68;1.57
2015-11-06 00:00:00+00:00;16.68;13.22;0.96;0.1892;1.3416;1015.7;4.29;6.53
2015-11-08 00:00:00+00:00;16.13;8.5;0.94;0.0028;0.0374;1021.1;5014;4.48
2015-11-10 00:00:00+00:00;15.22;13.61;0.92;0;0;1023.4;6116;7.81
2015-11-12 00:00:00+00:00;15.25;11.6;0.91;0.0071;0.0549;1021.2;6053;4.85
2015-11-14 00:00:00+00:00;14.53;8.64;0.87;0.2;0.9581;1023.2;5648;7.23
2015-11-16 00:00:00+00:00;14.21;11.87;0.87;0.1171;2.4102;1010.7;6029;7.38
2015-11-18 00:00:00+00:00;14.92;11.44;0.83;0.0073;154;1013.1;5982;10.12
2015-11-20 00:00:00+00:00;10.34;4.96;0.85;19;0.1545;1009.2;6216;4.07
2015-11-22 00:00:00+00:00;7.09;-2.16;0.84;0;0;1015.2;6219;1.78
2015-11-24 00:00:00+00:00;11.15;7.09;0.9;0.2801;1.2946;1013;5583;5.57
2015-11-26 00:00:00+00:00;11.06;7.7;0.91;0.0124;0.0799;1020;5855;1.21
2015-11-28 00:00:00+00:00;11.21;2.92;0.83;0.0932;0.7062;1013;6162;7.38
2015-11-30 00:00:00+00:00;13.31;9.86;0.86;0.0168;0.1635;1017.5;5636;10.54
2015-12-02 00:00:00+00:00;13.1;11.79;0.84;0.0017;0.0355;1023.7;6216;6.54
2015-12-04 00:00:00+00:00;13.32;5.86;0.83;0.0205;0.3103;1026.5;6.21;7.07
2015-12-06 00:00:00+00:00;13.71;12.04;0.89;0.0886;0.4051;1018.2;5334;8.62
2015-12-08 00:00:00+00:00;13.25;7.15;0.86;0.2305;1.3586;1022.7;5783;6.95
2015-12-10 00:00:00+00:00;11.88;9.98;0.86;0.1769;1.4963;1026;5864;7.52
2015-12-12 00:00:00+00:00;12.92;5.93;0.88;0.0057;0.0934;1019.8;6194;6.42
2015-12-14 00:00:00+00:00;10.98;8.32;0.88;0.0356;405;1015.8;5665;3.59
2015-12-16 00:00:00+00:00;14.18;12.52;0.93;0.0224;0.0951;1019.3;5067;6.3
2015-12-18 00:00:00+00:00;13.29;11.4;0.91;0;0;1019.2;6019;4.71
2015-12-20 00:00:00+00:00;14.06;9.62;0.85;0.0401;0.3135;1011.5;6066;6.56
2015-12-22 00:00:00+00:00;14.17;10.54;0.92;0.2233;0.6869;1014.9;4332;10.85
2015-12-24 00:00:00+00:00;12.74;7.19;0.83;0.1327;1.7293;1014.2;6201;7.72
2015-12-26 00:00:00+00:00;14.34;12.76;0.86;0;0;1019.9;6112;8.79
2015-12-28 00:00:00+00:00;12.71;9.72;0.84;0.0001;0.0102;1016.7;6011;6.18
2015-12-30 00:00:00+00:00;12.69;10.19;0.8;0.2772;2.0686;1011.2;5865;10.38
2016-01-01 00:00:00+00:00;9.49;0.91;0.89;0.1051;0.9681;1016.7;6145;4.84
2016-01-03 00:00:00+00:00;9.64;5.57;0.89;0.5633;3.5982;992.1;5419;5.8
2016-01-05 00:00:00+00:00;9.91;5.07;0.92;0.1836;614;984.6;6198;2.57
2016-01-07 00:00:00+00:00;10.76;4.29;0.83;0.4555;3.1146;989.4;5597;8.13
2016-01-09 00:00:00+00:00;11.1;6.58;0.89;224;1.2732;990.7;5989;7.03
2016-01-11 00:00:00+00:00;8.97;4.4;0.89;0.1945;1.4342;982.9;6134;4.24
2016-01-13 00:00:00+00:00;8;2.31;0.81;0.0967;1.2643;1014;6.07;4.57
2016-01-15 00:00:00+00:00;6.1;0.78;0.8;0;0;1020.6;6216;4.48
2016-01-17 00:00:00+00:00;6;1.06;0.91;0.1114;352;1024.7;4652;3.54
2016-01-19 00:00:00+00:00;4.45;-3.33;0.83;0;0;1016.6;6094;0.59
2016-01-21 00:00:00+00:00;8.53;-0.87;0.82;0;0;1021;4703;3.28
2016-01-23 00:00:00+00:00;10.03;4.45;0.95;0.1019;1302;1029.4;4423;3.43
2016-01-25 00:00:00+00:00;12.19;7.47;0.88;0;0;1021.3;6216;5.41
2016-01-27 00:00:00+00:00;11.77;7.48;0.94;0.4686;1.52;1010.9;4549;10.1
2016-01-29 00:00:00+00:00;11.42;9.15;0.91;0.0604;0.2841;1020;4762;11.59
2016-01-31 00:00:00+00:00;12.62;5.1;0.9;27;0.2391;1010.4;5297;5.62
2016-02-02 00:00:00+00:00;10.78;4.94;0.75;0.0023;0.0356;1016.7;6216;7.55
2016-02-04 00:00:00+00:00;13.78;4.38;0.85;0;0;1026.1;6216;5.45
2016-02-06 00:00:00+00:00;11.89;7.35;0.86;0.1096;1.0245;998.9;5.83;9.66
2016-02-08 00:00:00+00:00;9.94;7;0.76;0.0691;0.7654;989.7;5997;13.69
2016-02-10 00:00:00+00:00;8.39;1.72;0.83;0;0;997.6;6217;4.49
2016-02-12 00:00:00+00:00;6.18;3.25;0.9;0.0397;0.3544;994.9;6086;3.19
2016-02-14 00:00:00+00:00;7.03;1.68;0.82;0.0615;0.2756;996.1;4922;4.15
2016-02-16 00:00:00+00:00;7.98;-2.7;0.82;0;0;1034;6048;1.91
2016-02-18 00:00:00+00:00;8.33;-0.36;0.81;0.0807;0.9006;1013.5;5616;2.67
2016-02-20 00:00:00+00:00;11.33;8.7;0.9;0.0048;0.0366;1011.3;5203;9.68
2016-02-22 00:00:00+00:00;10.95;5.36;0.87;0.0593;0.4876;1010;5229;4.57
2016-02-24 00:00:00+00:00;8.09;-0.93;0.78;0;0;1017.6;6067;1.35
2016-02-26 00:00:00+00:00;7.95;0.4;0.74;0;0;1009.8;6179;2.7
